"Control Number","Item Number","Block Number","Block Time","Item Name",Value,Description,Donor
X174,1,1,19:00:00,"Cranberries Restaurant Gift Certificate",25.00,"Nestled on the edge of Cabbagetown, Paris-trained chef/owner Silva Thambu transforms the ordinary to the extraordinary without compromising the restaurant's competitive neighbourhood prices. A place of gathering and a place to make new friends.  Cranberries offers a welcoming atmosphere that will surely summon you back time and time again.","Cranberries Restaurant"
X134,2,1,19:00:00,"Table-Mate 2",30.00," The Table-mate 2 is the perfect portable table to use for anything you would use a table surface for. Great for playing cards, using for sewing etc.It is portable so easy to fold down and store","Sherwood TV Sales & Services "
S159,3,1,19:00:00,"Lampe Berger Kit",40.00,"Discover the French Lampe Berger system for purifying and scenting the air. This starter kit comes with two fragrances and a beautiful glass burner which diffuses the fragrances throughout the room. The French have been purifying the air in their homes for over 100 years with this system - now you can too! ","Rooms Renewed"
W135,4,1,19:00:00,"BATH & BODY PRODUCTS GIFT BASKET",50.00,"THE VILLAGE OF HUMBER HEIGHTS LOCATED AT 2245 LAWRENCE AVE. WEST DONATES -  A GIFT BASKET OF BATH AND BODY PRODUCTS - INCLUDES A FLUFFY GRAY TOWEL SET AND BOTTLES OF BATH AND BODY PRODUCTS, SHOWER GEL AND BODY SPRAY - A NICE XMAS GIFT FOR ANYONE WHO ENJOYS LUXURIOUS BATH TREATMENTS - COUTESY OF THE VILLAGE OF HUMBER HEIGHTS","Village of Humber Heights"
W007,5,1,19:00:00,"TWO SMALL BUSINESS GUIDANCE BOOKS",58.00,"MCGRAW HILL RYERSON DONATES - TWO SMALL BUSINESS GUIDANCE BOOKS - TITLES ARE ""WIKI BRANDS "" INVENTING YOUR COMPANY IN A CUSTOMER DRIVEN MARKETPLACE - AND "" NEWSPAPER MAN "" INSIDE THE NEWS BUSINESS AT THE WALL STREET JOURNAL "" -THESE TWO BOOKS WOULD PROVIDE STRATEGIC GUIDANCE AND CREATIVE INSIGHTS TO ENHANCE ANY SMALL BUSINESS MANAGEMENT ENDEAVOR - COURTESY OF MCGRAW HILL RYERSON LTD.","McGraw Hill Ryerson Ltd."
W058,6,1,19:00:00,"ONE YEAR C A A MEMBERSHIP",76.00,"C A A CENTRAL ONTARIO REGION DONATES - A ONE YEAR MEMBERSHIP CIFT CERTIFICATE - INCLUDES 24 HOUR EMERGENCY ROAD SERVICE - C A A CLUB MEMBERSHIP - C A A TRAVEL AGENCY SERVICES - PLUS DISCOUNTS ON AUTO AND PROPERTY INSURANCE - A LOT MORE THAN ROADSIDE ASSISTANCE - MAKE SURE YOU'RE COVERED - COURTESY OF C A A CENTRAL ONTARIO REGION","CAA South Central Ontario"
S254,7,1,19:00:00,"Blue Jay pitcher Paul Spoljaric --- Photo autographed and Toronto Blue Jays Knapsack",90.00,"Toronto Blue Jay pitcher Paul Spoljaric --- Nicely framed print --- Photograph & Autographed --- former Toronto Blue Jay pitcher - Paul Spoljaric. and a Blue Jays KnapSack....Brand New Heavy Duty - Under Armour KnapSack --- Colour is Black with a little grey --- Toronto Blue Jays Logo on the Knapsack ... Wonderful Gift Idea for that Blue Jay Fan","Justin  Van dette"
W057,8,1,19:00:00,"ONE NIGHT HILTON AIRPORT STAY",130.00,"THE HILTON GARDEN INN TORONTO AIRPORT LOCATED AT 1870 MATHESON BOULEVARD DONATES - A $130 GIFT CERTIFICATE FOR ONE NIGHT STAY - INCLUDES ROOM AND TWO BREAKFASTS - VALID ANY THURSDAY / FRIDAY / SATURDAY / OR SUNDAY NIGHTS - EXPIRES MARCH 31 2013. - HERE'S AN OPPORTUNITY TO CELEBRATE A SPECIAL BIRTHDAY OR ANNIVERSARY - COURTESY OF THE HILTON GARDEN INN","Hilton Garden Inn"
U043,9,2,19:10:00,"STUART CRYSTAL - SUMMER FLOWER CAKE PLATE",90.00,"1 LEVEL CAKE PLATE WITH PEDESTAL FEATURING SUMMER FLOWERS.","ANONYMOUS- SCARBOROUGH TWILIGHT ROTARY CLUB"
S146,10,2,19:10:00,"12 light Moonrays",60.00,"Dickson Home Hardware has donated this package of 12 Moonrays.  This value pack has 10 moonrays and 2 solar garden lights. They have solar panel which collects the sunlight and converts it into electrical power which is stored into the included rechargeable batteries. Installs anywhere that gets direct sunlight, like gardens, walkways, steps or at your cottages.  Beautify your home or cottage.","Dickson Home Hardware"
